"Domain"	"Country"	"Item"	"Element"	"Year"	"Value"
"Livestock Primary"	"Cameroon"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"87500.0"
"Livestock Primary"	"Canada"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"588028.0"
"Livestock Primary"	"Canada"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"638782.0"
"Livestock Primary"	"Central African Republic"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"6893.0"
"Livestock Primary"	"Central African Republic"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"6900.0"
"Livestock Primary"	"Chad"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"7580.0"
"Livestock Primary"	"Chad"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"7580.0"
"Livestock Primary"	"Chile"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"255142.0"
"Livestock Primary"	"Chile"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"255557.0"
"Livestock Primary"	"China"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"8755385.0"
"Livestock Primary"	"China"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"8771620.0"
"Livestock Primary"	"China, Hong Kong SAR"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"1.0"
"Livestock Primary"	"China, Hong Kong SAR"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"17500.0"
"Livestock Primary"	"China, Macao SAR"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"1186.0"
"Livestock Primary"	"China, Macao SAR"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"4000.0"
"Livestock Primary"	"China, mainland"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"8404430.0"
"Livestock Primary"	"China, mainland"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"8400000.0"
"Livestock Primary"	"China, Taiwan Province of"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"349768.0"
"Livestock Primary"	"China, Taiwan Province of"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"350120.0"
"Livestock Primary"	"Colombia"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"1075744.32"
"Livestock Primary"	"Colombia"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"1074987.32"
"Livestock Primary"	"Comoros"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"670.0"
"Livestock Primary"	"Comoros"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"670.0"
"Livestock Primary"	"Congo"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"6500.0"
"Livestock Primary"	"Congo"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"6500.0"
"Livestock Primary"	"Cook Islands"	"Meat indigenous, chicken"	"Production (1000 Head)"	2011	"21.0"
"Livestock Primary"	"Cook Islands"	"Meat, chicken"	"Producing Animals/Slaughtered (1000 Head)"	2011	"25.0"
